article-number,authkeywords,citedby-count,dc:creator,dc:description,dc:identifier,dc:title,eid,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:doi,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,subtype,subtypeDescription
8650517,computer vision | convolutional neural networks | image classification | object detection | transfer learning,1,Galvez R.,"© 2018 IEEE. Vision systems are essential in building a mobile robot that will complete a certain task like navigation, surveillance, and explosive ordnance disposal (EOD). This will make the robot controller or the operator aware what is in the environment and perform the next tasks. With the recent advancement in deep neural networks in image processing, classifying and detecting the object accurately is now possible. In this paper, Convolutional Neural Networks (CNN) is used to detect objects in the environment. Two state of the art models are compared for object detection, Single Shot Multi-Box Detector (SSD) with MobileNetV1 and a Faster Region-based Convolutional Neural Network (Faster-RCNN) with InceptionV2. Result shows that one model is ideal for real-time application because of speed and the other can be used for more accurate object detection.",SCOPUS_ID:85063228290,Object Detection Using Convolutional Neural Networks,2-s2.0-85063228290,,undefined,Department of Science and Technology for Social Development,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650517,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2023-2027,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063228290,2018-October,,cp,Conference Paper
8650425,current starved ring oscillator | feedback | PVT (process | self-correcting | sensor platform | temperature) | voltage,0,Avelino A.,"© 2018 IEEE. The trend in today's technology is continuously evolving and resolving some of the nature's problems through environmental monitoring. Sensor platforms are acquainted to these functions, for it is one of the devices that enables the reading of data from the environment and interprets to a function that allows monitoring. In every sensor platform, a stable clock generator circuit is a necessity to synchronize the input data from the output results and action. A self-correcting clock generator fixes the process, voltage, and temperature variation issues that affect the outputs of almost all clock generator circuit. The Five-stage Prescriptive Model was used to have a proper procedure in designing the clock generator while pairwise comparison chart and decision matrix were used for the evaluation of alternatives. Current starved ring oscillator was the main circuit block that was used as clock generator which produced the desired frequency. Different circuit blocks such as frequency to voltage converter, analog to digital converter, limiter circuit, trimming circuit, and oscillator are put together as the feedback circuit. The clock automatically corrects itself with a frequency variation of ±10% even if the process, voltage, and temperature change. This study focused on having a low power of 1.12mW for the whole circuit, with a voltage supply of 1.2V. It has three different output frequencies, 26MHz, 13MHz, and 1.08MHz, that were obtained using frequency dividers. The design was implemented using Synopsys tool in 90nm CMOS process technology.",SCOPUS_ID:85063226989,Development of a Self-Correcting CMOS-Based Clock Generator for Wireless Sensor Network in 90nm Process Technology,2-s2.0-85063226989,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650425,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2340-2345,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063226989,2018-October,,cp,Conference Paper
8650510,acoustic | fingerprinting | indoor localization | localization | PDR | WiFi,0,Celso A.,"© 2018 IEEE. In this paper, we present an implementation of indoor localization, where the location of an object is determined without using the outdoor infrastructure of GPS. Various work involving different technologies exist, but the field remains open to a solution which can attain widespread use, in consideration of cost and infrastructure needed for deployment. For our implementation, we localized a common smartphone in an area with many WiFi signals. The main method was through RSS fingerprinting which was able to achieve a mean error of 2.5 m, aside from outliers that drove the error to 16 m. To improve this, Pedestrian Dead Reckoning (PDR) techniques were leveraged in addition to the WiFi system. Realtime testing showed that the WiFi+PDR system was able to achieve a 2.28 m mean localization error, while it reached 2.62 m for the WiFi-only approach. Finally, a peer-to-peer approach was explored, in which neighboring smartphone peers were treated as pseudo access points to help eliminate the outlier errors that resulted from very similar RSS fingerprints. To measure distance between peers, an acoustic method was employed using 1 KHz sine waves. The Time Difference of Arrival (TDoA) was computed between peers, and the readings allowed for coarse estimates in 5-m bins. However, for very noisy environments, this frequency range may cause the acoustic system to be erroneous, possibly driving the error to as high as 18.01 m.",SCOPUS_ID:85063225791,Improving WiFi Indoor Localization Through a Peer-to-Peer Architecture,2-s2.0-85063225791,,undefined,Department of Science and Technology,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650510,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2060-2065,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063225791,2018-October,,cp,Conference Paper
8650377,AIS | GNU Radio | SDR | Signal Processing,0,Cruz F.,"© 2018 IEEE. This paper presents the design and implementation of an Automatic Identification System (AIS) receiver with the use of a Software Defined Radio (SDR). AIS devices transmit and receive different navigational data such as location, speed and course of different maritime vessels autonomously and continuously. AIS is used to aid in the safe and secure navigation of different maritime vessels. The concepts of SDR are presented as well as the software required to execute the receiving function. The laboratory setup of the AIS receiver is arranged to acquire raw AIS data from real ships. The raw data is then passed to a set of demodulating signal blocks to acquire the AIS Message. The AIS Message received is decoded and the relevant information is extracted from the AIS packet. To check the result and performance of the SDR-based AIS receiver, the received data is compared to the received signal of a commercial grade AIS transceiver. Based from the results, the SDR-based AIS receiver can effectively and accurately extract AIS messages from the raw AIS data packets.",SCOPUS_ID:85063225450,Software Defined Radio Implementation of a Single Channel Automatic Identification System Receiver,2-s2.0-85063225450,,4393,"Philippine Council for Industry, Energy, and Emerging Technology Research and Development",0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650377,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2452-2455,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063225450,2018-October,,cp,Conference Paper
8650501,CMC curve | descriptor extraction | distance metric learning | re-identification | scalability,0,Fernando D.,"© 2018 IEEE. Person re-identification is a topic under computer vision and video surveillance and came to light as a solution to a multi-camera visual tracking problem of finding object correspondence between cameras. Unfortunately, developing a person re-identification system is non-trivial as it involves many challenges. The study was aimed to develop a re-identification system that deals with common re-identification problems, as well as real-world problems. With all the challenges presented as majority of existing works have only now started to consider real-world problems. The system made use of different color and texture features and also made use of a distance metric learning algorithm called Keep it Simple and Straightforward metric or KISSME. The performance of the re-identification system was tested by applying it on chosen datasets such as the VIPeR dataset, CUHK01, CUHK02, CUHK03, as well as the Market-1501 dataset and then examining the accuracy scores from metrics such as the cumulative matching characteristics curve. The results that were acquired from the VIPeR, CUHK01, and CUHK02 datasets show that the system is comparable to the chosen baseline system with differences of only about 1-4% differences while the system outperforms the baseline on the Market-1501 dataset. The re-identification system was also found to be more scalable than the chosen baseline system.",SCOPUS_ID:85063225028,Descriptor Extraction and Distance Metric Learning for a Robust Person Re-Identification System,2-s2.0-85063225028,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650501,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,477-482,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063225028,2018-October,,cp,Conference Paper
8650114,Analog-to-Digital converter | Human Machine Interface | Microcontroller | Remote Terminal Unit | SCADA | Substation Module | Wi-Fi Communication,0,Cuayo L.,"© 2018 IEEE. This paper presents a methodology to build a wireless SCADA Remote Terminal Unit (RTU) through a microcontroller. Using a microcontroller as a SCADA RTU eliminates the complexity of building current SCADA systems. It minimizes the space it covers and removes long communication lines as it communicates through Wi-Fi. The proposed methodology uses three microcontrollers to support the data acquisition, the server, and the supervisory control branch of the SCADA system. The study proves that the microcontrollers are able to handle real-time monitoring with the voltage, current readings and the states of the circuit breakers, as well as supervisory control by turning the circuit breakers on and off remotely.",SCOPUS_ID:85063222798,Development of a Wireless Microcontroller-based SCADA RTU,2-s2.0-85063222798,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650114,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2566-2570,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063222798,2018-October,,cp,Conference Paper
8650303,Kabsch Algorithm | Molecular Docking | Peptide Truncation | Post-Translational Modifications,0,Dacuba C.,"© 2018 IEEE. Post-translational modifications (PTMs) provide a wide range of options to expand a proteins biological capabilities. Modifications such as addition of covalent functional groups influence proteins activity state, localization, turnover, and interactions with the other proteins. PTMs potentially have an influence on therapeutic proteins and play critical element on biopharmaceutical drug development. Despite the importance of PTMs in cellular functions, most peptides with PTMs have no known three-dimensional structures. These protein structural prediction pose new set of challenges for peptides with existing PTMs. Protein-peptide docking simulations play an important role in drug discovery. Providing a peptide docking prediction is not feasible for peptides with only known secondary structure. In this paper, we extend the capabilities of a known peptide-protein docking algorithm to be able to handle peptides with existing PTMs. The proposed solution involves truncation of the PTMs in a peptide. We analyze the proposed algorithm by observing the effect of the length of truncation on the peptide sequence to the predicted structure of an existing docking tool CABSdock. The proposed framework introduces an alignment technique by Kabsch and further refinement by molecular dynamics to the simulation.",SCOPUS_ID:85063222495,Simulation of Peptide Docking with Terminal Post-Translational Modifications,2-s2.0-85063222495,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650303,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,893-898,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063222495,2018-October,,cp,Conference Paper
8650073,adaptive | in-pipe inspection robot | localization | pipe network | rust detection,0,Diaz J.,"© 2018 IEEE. In response to addressing the issue of pipe quality checking, the researchers developed an adaptive in-pipe inspection robot that is able to detect rust as well as map the rust on the pipe network. The robot is traversed in a pipe network of horizontal, vertical, elbow, and tee type with diameters of 8, 10 and 12 inches for all. Hence, the test features the versatility, adaptability, and robustness of the robot. The leg expansion of the robot is inspired by the scissors mechanism. On the other hand, rust detection was done through a per pixel classification via image processing. To effectively map the rust, checkpoints were used as a guide of the robot. Testing of the robot were supported in both simulation and actual testing, wherein it yields a 96.45% success rate on the site. Likewise, its rust detection program proved to be successful with a high percentage accuracy of 99.18%. The localization on the other hand yielded an accuracy of 85%. Given the obtained data and results, the researchers were able to go beyond their target objective of 70%.",SCOPUS_ID:85063221730,Development of an Adaptive In-Pipe Inspection Robot with Rust Detection and Localization,2-s2.0-85063221730,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650073,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2504-2509,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063221730,2018-October,,cp,Conference Paper
8650335,AMBA | ARM | ASIC | Wireless Sensor Network,0,Arellano D.,"© 2018 IEEE. The research presents about the Design of an Advanced Microcontroller Bus Architecture (AMBA) for 32-bit ARM-based Microprocessor for Wireless Sensor Network. The researchers developed an architecture that is capable of transferring data from one block to another. The researchers' design of AMBA reduces the power consumption of Wireless Sensor Network. ASIC implementation is done by following the semicustom ASIC design flow, from RTL specification written in VERILOG HDL, to functional verification, and synthesis. The AMBA design is developed in a 90nm process technology using Synopsys tools.",SCOPUS_ID:85063220710,Design of an Advanced Microcontroller Bus Architecture for Wireless Sensor Network in 90nm Process Technology,2-s2.0-85063220710,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650335,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2352-2356,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063220710,2018-October,,cp,Conference Paper
8650119,AKAZE | Artificial Neural Network | Feature-Matching,1,Bedruz R.,"© 2018 IEEE. This research proposes a method in order to classify vehicles in a highly congested roads , a robust technique for vehicle classification with low computational power must be used. So, a proposed solution is to embed an AKAZE feature matching extraction which is ran in an artificial neural network will be used. AKAZE was used because it is faster than SIFT. The features extracted from the AKAZE algorithm will be grouped according to the type of vehicle where it was used and be placed to an Artificial Neural Network (ANN) for the training of the network itself. The results yielded good for real-time Vehicle Classification.",SCOPUS_ID:85063219582,Vehicle Classification Using AKAZE and Feature Matching Approach and Artificial Neural Network,2-s2.0-85063219582,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650119,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1824-1827,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063219582,2018-October,,cp,Conference Paper
8650057,3D mapping | Acceleration Spectral Density | Gyroscopic stabilizer | UGV,0,Arias J.,"© 2018 IEEE. Unmanned vehicle systems used in 3D mapping applications are challenged with camera shake blurring due to mechanical vibrations. In this paper, the use of gyroscopic stabilizer as a mechanical interface of a 3D mapping device to an unmanned ground vehicle is presented. The main objective is to reduce the mechanical vibrations due to uneven terrain and motor operations while 3D mapping. A custom-made UGV without any form of mechanical damper on its wheels is developed. The UGV is allowed to traverse an artificial terrain while the 3D mapping device is mounted atop a vibration isolator. The vibration analysis shows that the acceleration spectral density (ASD) reaches 1.56G-{rms}-2/Hz without the stabilizer installed. Upon installation of gyroscopic stabilizer interface between the 3D mapping device and the UGV, the maximum recorded ASD is reduced to about 0.82G{rms}-2/Hz.",SCOPUS_ID:85063219014,Gyroscopic Stabilizer for 3D Mapping Device on Unmanned Ground Vehicle,2-s2.0-85063219014,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650057,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2395-2398,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063219014,2018-October,,cp,Conference Paper
8650473,A | algorithm | fire awareness | fire game | fire prevention | fire safety | gamification,0,Pacaon M.,"© 2018 IEEE. The number of reported fire incidents in the Philippines has gone down in the previous years, but the loss in lives and properties has gone up. The Bureau of Fire Protection (BFP) pursues a fire safety awareness and fire prevention campaign to address this phenomenon. FireMe, a mobile gaming application based on the source material provided by the BFP, was created to support this campaign. The researchers utilized the concept of gamification and applied algorithm to the pathfinding techniques in developing the game. The time and space complexity of the A star algorithm was determined by the factor of the number of nodes. Forty BFP personnel from eight adjacent municipalities in Laguna province were asked to evaluate FireMe using a questionnaire based on the ISO Form 9126 of Software Product Quality. The results show that the software passed the ISO 9126 standards in that obtained 4.39 which is Strong Agree meet all five criteria. The researchers believe that this implies that educational games enhanced by a computing theory such as algorithms can significantly contribute to the learning process.",SCOPUS_ID:85063217822,FireMe: Development of Gamifying Fire Safety Awareness and Prevention using A∗ Algorithm,2-s2.0-85063217822,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650473,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1876-1881,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063217822,2018-October,,cp,Conference Paper
8650420,,0,Celso R.,"© 2018 IEEE. Traffic congestion is a major problem in the Philippines. A vehicle classification system, for a proposed Philippine metropolitan traffic monitoring system, would be useful for various applications such as: road monitoring, law enforcement, and emergency vehicle prioritization. This paper implements a two-step vehicle classification system that classifies vehicles into three vehicle sizes and seven vehicle classes. Vehicle images are first extracted using the ViBe background subtraction algorithm on a Philippines metropolitan traffic sequence. The dataset used is comprised of properly segmented vehicle images. Geometry-based and texture-based features were extracted from the isolated image of each vehicle. Feature selection is used to determine the best features to be used in each classifier. Various machine learning models (kNN, SVM, MLPN) are used to implement the two-step vehicle classification system. The implemented vehicle size classifier uses a kNN model with an F-measure of 97.41%. Next, the medium vehicle classifier uses an SVM model with an F-measure of 90.68%. Finally, the large vehicle classifier uses an MLPN model with an F-measure of 97.97%. The resulting two-step vehicle classification system has an overall F-measure of 91.41%. This designed two-step classification system assumes that the input vehicle is properly segmented by background subtraction.",SCOPUS_ID:85063216501,Two-Step Vehicle Classification System for Traffic Monitoring in the Philippines,2-s2.0-85063216501,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650420,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2028-2033,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063216501,2018-October,,cp,Conference Paper
8650395,Android | blood bank | blood donation | mobile application,0,Casabuena A.,"© 2018 IEEE. Blood services are very essential for it can save a person's life. The absence of a platform to schedule blood donation appointment and to request for blood lead to problems such as lack of knowledge with the process of blood donation and requesting for blood. This study presents a framework for the development of an Android mobile application that will facilitate blood services between blood banks, blood donors and blood requesters. The proposed system will allow blood banks to manage blood drives to encourage more people to donate, view updated reports of the current status of blood services, and manage blood requests as well as blood donations. The proposed mobile application will allow blood donors to conveniently schedule blood donation appointments or participate in blood drives. People who need blood can send a request to the nearest blood bank with an available supply of blood through the proposed mobile application.",SCOPUS_ID:85063216290,BloodBank PH: A Framework for an Android-based Application for the Facilitation of Blood Services in the Philippines,2-s2.0-85063216290,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650395,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1637-1641,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063216290,2018-October,,cp,Conference Paper
8650540,Decentralized Agents | Swarm Robotics. | UAV,0,Bandala A.,"© 2018 IEEE. This paper presents a decentralized and cooperative load lifting and transportation system using unmanned aerial vehicle quadcopters. The limitation of a single UAV to carry load is addressed in this study by creating a cooperative lifting system that can accommodate varying load weight. Cooperative, independent and scalable agents were implemented with decision making algorithm embedded in each agents. Decentralized sensing of load is done by the UAV and the group consensually decides if another UAV is needed to carry the load. The system can lift different weight by autonomously sending appropriate number of UAV depending on the load. Experiments were conducted to determine the responsiveness of the system in varying load weights. Experiment results showed that the developed system is robust and scalable.",SCOPUS_ID:85063216248,Payload Lift and Transport Using Decentralized Unmanned Aerial Vehicle Quadcopter Teams,2-s2.0-85063216248,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650540,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1695-1700,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063216248,2018-October,,cp,Conference Paper
8650116,AGRICULTURE | MACHINE LEARNING | Panama DISEASE | PATTERN RECOGNITION | SOIL PARAMETERS,0,David A.,"© 2018 IEEE. Soil health is an integral part in agriculture. In order to have a good production, plant pathogens and diseases should remain low in soil. However, Panama disease have been a threat in the production of Cavendish bananas in recent years. Fusarium oxysporum f. sp. cubense Tropical Race 4 (TR4) produces chlamydospores in soil which germinates and infect the banana plant and eventually kill it. This study aims to develop a model using pattern recognition in soil parameters that will identify the predisposition of soil to existence of Panama disease in an area. Soil parameters have been selected as input since these indirectly affect the potential for biological suppression of plant pathogens.",SCOPUS_ID:85063216154,Presence or Absence of Fusarium oxysporum f. sp. cubense Tropical Race 4 (TR4) Classification Using Machine Learning Methods on Soil Properties,2-s2.0-85063216154,,undefined,"Department of Science and Technology, Republic of the Philippines",0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650116,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,689-694,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063216154,2018-October,,cp,Conference Paper
8650062,Differential Power Processing | Maximum Power Point Tracking | Photovoltaic Systems,0,David R.,"© 2018 IEEE. Solar photovoltaic (PV) systems often suffer loss in energy harvest due to mismatch caused by different factors such as partial shading or soiling. Increasing the energy harvest by improving efficiency and power processing while maintaining low cost is the goal of Differential Power Processing (DPP). By only processing a portion or difference of power and enabling PV submodules to operate at their local Maximum Power Point (MPP), DPP increases the power harvest and maintains the reliability of the solar module by preventing the occurrence of hotspots. This project is based on the concept of Differential Power Processing on submodular level solar photovoltaic systems using resonant switched capacitor converters (RSCC). Maximum power point tracking was implemented using modified incremental conductance algorithm with windowed current sensing for a precise measurement of small changes in current. The system was simulated to confirm the capability to transfer differential power and track the MPP. Experimental results were able to validate the simulations and were able to deliver up to 92% of the maximum possible power attainable.",SCOPUS_ID:85063216003,Differential Power Processing for Submodule Solar Photovoltaic Systems,2-s2.0-85063216003,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650062,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1954-1959,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063216003,2018-October,,cp,Conference Paper
8650536,acceleration | leak detection | pipe leak | vibration sensor | water pipeline,0,Ferino D.,"© 2018 IEEE. Water loss in pipeline network is often referred to as non-revenue water (NRW), water that is produced in a network but never reaches the consumer. This is due to the leakage of water pipeline networks which have not been properly manage, damage through natural calamities, theft or unauthorized consumption. This paper focuses on the detection of leaks in water distribution polyvinyl chloride pipes using vibration sensors and Fast Fourier Transform technique. Vibration sensors were used to monitor the vibrations caused by the flow of water in the pipeline network and detect the possible changes in vibrations which means a leakage might be present. The changes in the vibrations in terms of acceleration (g) detected by the sensors helps identifying the location of the leakage and the system specifies how strong the leakage based on the received vibrations. Form the results of the experiments, the designed leak detection system shows promising result in determining the location and severity of the leak.",SCOPUS_ID:85063215297,Development of Leak Detection System for PVC Pipeline Through Vibro-Acoustic Emission,2-s2.0-85063215297,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650536,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2557-2560,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063215297,2018-October,,cp,Conference Paper
8650246,classification | detection | IP-CCTV | recognition | tracking,0,Navea R.,"© 2018 IEEE. Closed Circuit Television (CCTV) technology made a big impact on how crimes were solved. CCTV footages were used as a material to review crime scenes and were used to identify culprits who were then placed as one of those »wanted» persons.CCTV systems only provide footages and lack the ability to analyze these footages. In this study, an IP camera based CCTV system with the ability to detect, recognize and track a person of interest was proposed. Initial set-up used five IP cameras to capture the front and side angles of the person of interest. These were also used to identify the direction of heading. The Haar feature-based cascade classifier was used for face detection. The Karhunen-Loeve transform was used for face recognition. And optical flow was used for tracking which was implemented in Processing.Gender, eye and face recognition was performed and results show that the system can detect and recognize the person of interest with more than 81.0 % accuracy. On the average, gender can be classified with 83% accuracy particularly when the person of interest is a female. Higher accuracies were obtained when the person of interest is wearing eye glasses. Consistently, face recognition performs better when the person of interest is a female wearing eye glasses.",SCOPUS_ID:85063215258,Design and Implementation of a Human Tracking CCTV System Using IP-Cameras,2-s2.0-85063215258,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650246,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2227-2231,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063215258,2018-October,,cp,Conference Paper
8650137,flood | mobile application | pressure sensor | rain gauge,0,Mendoza M.,"© 2018 IEEE. This paper describes the process, methods and experimental verification and validation of a flood forecasting system. The main objective of this design project is to develop a predictive flood monitoring system using the Hidden Markov Model that will provide an alternate route once the level of the flood reaches a certain range that is not passable to vehicles. Moreover, it will have a local database that will receive the information that will be sent by the pressure sensor and the rain gauge. The present value of the rain gauge and the historical data of flood and rain will be the basis of the prediction of the road as to whether it will be passable, not passable to light vehicles and not passable to heavy vehicles. It will also have a mobile application for public notifications of the flood level, rain intensity, road condition, and percentage of passability of the road. This system is deemed as a faster method of alerting relevant authorities and the public.",SCOPUS_ID:85063215042,Development of Manila Road Predictive Flood Monitoring System Using Hidden Markov Model,2-s2.0-85063215042,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650137,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2551-2556,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063215042,2018-October,,cp,Conference Paper
8650180,Automata | Backtracking Algorithm | Boyer-Moore string algorithm | Knuth-Morris-Pratt | Mobile-Learning. | String Matching Algorithm,0,Lucena F.,"© 2018 IEEE. Finite state machine is a model of computation based on a theoretical machine, made of one or more states. Computing Science students and practitioners use it to model real world objects and simulate problems in several disciplines such as mathematics, artificial intelligence, games or linguistics. Based on the assessment made by the proponents, little percentage of the students who took the course were able to retain knowledge on its theoretical foundation, while none on the application side. It was further supported by some literature that some computing students find difficulties in learning this course. The main reason is the knowledge retention because they cannot remember their previous lessons. This research can be a useful contribution in designing a better e-learning application particularly for the Computing Science students. Given the right feature, the mobile application can benefit both the educational institution, students and faculty members. In view of this study, it is highly recommended to pursue the development of the application, implement it and conduct a pre-and post-test assessment on the knowledge retention of students who will utilize this system. Provide a wider population and test other parameters to determine what really affects the student's knowledge retention.",SCOPUS_ID:85063214382,Automata Generating Mobile Application (A.G.M.A),2-s2.0-85063214382,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650180,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1888-1892,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063214382,2018-October,,cp,Conference Paper
8650338,Android mobile app | Herbal Medicine. | IoT | Push and Pull Technology,0,Samonte M.,"© 2018 IEEE. Push technology could be seen being used when the information is generated by a central web server and then pushes it to a client. A client may access this information through their personal computers, laptops, and mobile phones. In contrast to Push technology, there is Pull technology. Pull technology could be seen being used when a client requests information from a server. In this study, the researchers developed an android-based mobile application, called HerbLife, that uses push and pull technology in for alternative medicine information. The herbal solutions app is ideal for use by people who would like to use plant-based medicines instead of the chemical ones to avoid allergies and other medical dilemma. The technology applied is ideal for offline connection especially in remote and rural areas where access is limited and the mobile device has limited memory capacity. This research were able to present information rich content in the form of video, text and other multimedia features in order to fully covered the needed herbal solution instruction to present to the target users. The presented plant-based medicinal information in this study were carefully selected and tested by professional before developing this herbal information system. The mobile application was tested with the fullest of its functionality and supported by user acceptance testing of the experts in herbal medicines and proven users of this alternative approach as shown in this study.",SCOPUS_ID:85063214095,Herbal Medicine Information System Using Push and Pull Technology in Mobile Application,2-s2.0-85063214095,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650338,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,2098-2103,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063214095,2018-October,,cp,Conference Paper
8650525,Arduino | GSM | IoT | RFID,1,Jayashree,"© 2018 IEEE. The idea of Internet of Things (IoT) is one of the future prospects of technology. The rationale behind its working is the amalgamation of web, mobile and Information and Communications technology. It enables various devices in a system to communicate and interact with each other to perform their job in a harmonious way. The rising population of the world makes it necessary to facilitate the cities and villages to function in a smart way. In a country like India, where majority of population lives in villages, huge efforts have been made to automate cumbersome and mundane tasks in city homes and offices. However, very little has been done in villages where IoT could play a vital role in bringing 'smartness' to the typical village activities. This project mainly focuses on making three aspects in a typical village smart viz irrigation, cattle feeding, and the public distribution system (Ration).",SCOPUS_ID:85063213771,IoT based Smart Village,2-s2.0-85063213771,,undefined,,0,False,,Conference Proceeding,2019-02-22,10.1109/TENCON.2018.8650525,"[{'@_fa': 'true', '$': '9781538654576'}]",21593442,,1219-1223,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",https://api.elsevier.com/content/abstract/scopus_id/85063213771,2018-October,,cp,Conference Paper
